G_pp_W_m2K,G_ep_int_W_m2K,G_ep_bulk_W_m3K,kappa_e_W_mK,kappa_p_W_mK,G_total_W_m2K,G_e_channel_W_m2K,G_p_channel_W_m2K,electron_channel_fraction,phonon_channel_fraction,l_ep_m,R_e_m_m2K_W,R_p_m_m2K_W,R_ep_m2K_W,R_pp_m2K_W
444088088.99431956,10000000.0,1e+17,350.0,20.0,350185838.7423947,9996071.656335391,340189767.0860593,0.028545048229916423,0.9714549517700836,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-07,2.2518054971134144e-09
444088088.99431956,12589254.117941663,1e+17,350.0,20.0,352772795.83208174,12583028.746022437,340189767.0860593,0.035668931659945516,0.9643310683400544,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,7.94328234724282e-08,2.2518054971134144e-09
444088088.99431956,15848931.924611142,1e+17,350.0,20.0,356028833.7242298,15839066.638170555,340189767.0860593,0.044488156963261756,0.9555118430367383,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,6.30957344480193e-08,2.2518054971134144e-09
444088088.99431956,19952623.149688788,1e+17,350.0,20.0,360126757.3299831,19936990.243923828,340189767.0860593,0.05536103563017291,0.9446389643698271,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,5.011872336272725e-08,2.2518054971134144e-09
444088088.99431956,25118864.315095823,1e+17,350.0,20.0,365283859.9405762,25094092.854516912,340189767.0860593,0.0686975133765811,0.9313024866234189,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.981071705534969e-08,2.2518054971134144e-09
444088088.99431956,31622776.60168379,1e+17,350.0,20.0,371773293.5907956,31583526.504736315,340189767.0860593,0.08495372596478044,0.9150462740352195,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.162277660168379e-08,2.2518054971134144e-09
444088088.99431956,39810717.05534969,1e+17,350.0,20.0,379938296.915526,39748529.82946668,340189767.0860593,0.10461838185873695,0.8953816181412629,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,2.511886431509582e-08,2.2518054971134144e-09
444088088.99431956,50118723.36272725,1e+17,350.0,20.0,390209970.1853581,50020203.09929882,340189767.0860593,0.1281879165607638,0.8718120834392361,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.995262314968879e-08,2.2518054971134144e-09
444088088.99431956,63095734.448019296,1e+17,350.0,20.0,403129436.8729553,62939669.78689602,340189767.0860593,0.15612769505277088,0.8438723049472291,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.5848931924611143e-08,2.2518054971134144e-09
444088088.99431956,79432823.47242822,1e+17,350.0,20.0,419375403.0485501,79185635.96249084,340189767.0860593,0.18881802649099022,0.8111819735090098,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.2589254117941661e-08,2.2518054971134144e-09
444088088.99431956,100000000.0,1e+17,350.0,20.0,439798316.6960919,99608549.6100326,340189767.0860593,0.22648688234717324,0.7735131176528267,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-08,2.2518054971134144e-09
444088088.99431956,125892541.17941661,1e+17,350.0,20.0,465462529.3931144,125272762.30705512,340189767.0860593,0.26913608377969744,0.7308639162203026,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,7.943282347242822e-09,2.2518054971134144e-09
444088088.99431956,158489319.2461111,1e+17,350.0,20.0,497698053.54897726,157508286.46291795,340189767.0860593,0.31647358341018295,0.6835264165898169,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,6.309573444801943e-09,2.2518054971134144e-09
444088088.99431956,199526231.49688828,1e+17,350.0,20.0,538163654.3794768,197973887.29341757,340189767.0860593,0.3678693008759371,0.6321306991240631,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,5.011872336272715e-09,2.2518054971134144e-09
444088088.99431956,251188643.1509582,1e+17,350.0,20.0,588923056.7341428,248733289.64808354,340189767.0860593,0.42235277903267604,0.577647220967324,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.981071705534969e-09,2.2518054971134144e-09
444088088.99431956,316227766.01683795,1e+17,350.0,20.0,652535884.4260387,312346117.3399794,340189767.0860593,0.4786650432484868,0.5213349567515131,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.162277660168379e-09,2.2518054971134144e-09
444088088.99431956,398107170.5534969,1e+17,350.0,20.0,732164429.8466662,391974662.76060694,340189767.0860593,0.5353642525937737,0.46463574740622626,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,2.5118864315095824e-09,2.2518054971134144e-09
444088088.99431956,501187233.6272715,1e+17,350.0,20.0,831696242.8458542,491506475.7597949,340189767.0860593,0.590968734063273,0.409031265936727,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.9952623149688828e-09,2.2518054971134144e-09
444088088.99431956,630957344.4801943,1e+17,350.0,20.0,955880497.4396288,615690730.3535695,340189767.0860593,0.6441084759054362,0.35589152409456376,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.5848931924611107e-09,2.2518054971134144e-09
444088088.99431956,794328234.7242821,1e+17,350.0,20.0,1110472691.6041925,770282924.5181333,340189767.0860593,0.6936531896208812,0.3063468103791188,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.2589254117941663e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1e+17,350.0,20.0,1302376895.779023,962187128.6929637,340189767.0860593,0.7387931495186936,0.26120685048130643,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1258925411.794166,1e+17,350.0,20.0,1539766878.748205,1199577111.6621456,340189767.0860593,0.7790641091314903,0.22093589086850973,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,7.943282347242822e-10,2.2518054971134144e-09
444088088.99431956,1584893192.4611108,1e+17,350.0,20.0,1832156527.768096,1491966760.6820366,340189767.0860593,0.8143227601298492,0.18567723987015075,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,6.309573444801943e-10,2.2518054971134144e-09
444088088.99431956,1995262314.9688828,1e+17,350.0,20.0,2190376080.458445,1850186313.372386,340189767.0860593,0.844688877804556,0.15531112219544402,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,5.011872336272715e-10,2.2518054971134144e-09
444088088.99431956,2511886431.509582,1e+17,350.0,20.0,2626395024.403516,2286205257.3174567,340189767.0860593,0.8704727339470497,0.12952726605295037,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.9810717055349694e-10,2.2518054971134144e-09
444088088.99431956,3162277660.1683793,1e+17,350.0,20.0,3152918507.413959,2812728740.3279,340189767.0860593,0.892103216024735,0.10789678397526511,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,3.1622776601683795e-10,2.2518054971134144e-09
444088088.99431956,3981071705.5349693,1e+17,350.0,20.0,3782678476.2771277,3442488709.1910686,340189767.0860593,0.9100664332907115,0.0899335667092886,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,2.511886431509582e-10,2.2518054971134144e-09
444088088.99431956,5011872336.272715,1e+17,350.0,20.0,4527354242.235305,4187164475.1492453,340189767.0860593,0.9248590349055398,0.07514096509446018,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.9952623149688828e-10,2.2518054971134144e-09
444088088.99431956,6309573444.801943,1e+17,350.0,20.0,5396103270.221573,5055913503.135513,340189767.0860593,0.9369564016753722,0.06304359832462779,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.584893192461111e-10,2.2518054971134144e-09
444088088.99431956,7943282347.242822,1e+17,350.0,20.0,6393773092.311941,6053583325.225882,340189767.0860593,0.9467935814777172,0.05320641852228277,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1.2589254117941662e-10,2.2518054971134144e-09
444088088.99431956,10000000000.0,1e+17,350.0,20.0,7518998662.063421,7178808894.977362,340189767.0860593,0.9547559745152685,0.04524402548473147,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-10,2.2518054971134144e-09
